Organisation Name,Website URL,Logo URL,Short Description,Address,Postcode,Latitude,Longitude
Community Energy Warwickshire,http://cew.coop,https://communityenergyengland.org/files/img_cache/2176/340_260_1675181242_communityenergywarwickshire.jpg?1675198155,Community Energy Warwickshire is a new approach to local energy - a community benefit society whose aim is to invest in renewable energy projects and to help local people to reduce their use of energy and save money.,,CV37 7LR,52.184811,-1.699864
Community Hydro Forum,,https://communityenergyengland.org/files/img_cache/2177/340_260_1675181325_WhitbyEskEnergylogowithcomanyname.png?1675181794,,,TS14 6AP,54.534524,-1.057146
Community Power Cornwall,http://www.communitypowercornwall.coop/,https://communityenergyengland.org/files/img_cache/2799/340_260_1733143379_CommunityPowerCornwall.png?1733143381,"Community Power Cornwall is a co-operative that delivers community energy projects in Cornwall. We trap money in Cornwall and enable communities to collectively tackle the threats of climate change, energy security and uncontrollable rises in fuel costs by generating clean, renewable energy locally.  In doing so we provide ethical investment opportunities which meet environmental, social and financial needs.","9 Henley Crescent, Mount Hawke, Truro",TR4 8DN,50.2827,-5.20945
Community Power Solutions Ltd,https://www.communitypowersolutions.org/,https://communityenergyengland.org/files/img_cache/2604/340_260_1714740059_CommunityPowerSolutions.png?1715029809,"CPS are committed to transforming the UK’s renewable energy landscape by focusing on community-led projects. Our expertise, track record, and partnerships allow us to develop wind energy sites that not only meet government targets but also empower local communities to take ownership of their energy futures.

Using specially developed funding models we can enable even the most challenged communities to own their own wind turbine, so long as an appropriate site can be located to host one.

This is transformative, providing these communities with a steady and meaningful income to effect real change, increasing community cohesion through a shared endeavour, and taking effective action to help tackle the climate emergency.",,BS2 8QH,51.46137,-2.58841
Cooperation Hull,https://www.cooperationhull.co.uk/,https://communityenergyengland.org/files/img_cache/2796/340_260_1732617047_20230914_140347_0001.png?1732635182,"The Big Question...

Strong, caring communities. Enough food for everyone. A healthy planet. Lives filled with meaning. 

This is the kind of world we all want. 

So why don't we build it?","8 Lonsdale Street, Hull",HU3 6PA,53.744573,-0.37521
CORE Projects Society,https://www.core-projects.org/,"https://static.wixstatic.com/media/be63cf_81f3a4b7293b48a29a64219a93f3c83e~mv2.png/v1/fill/w_954,h_330,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/CORE%20LOGO%20TEAL_edited_edited.png","Empowering communities across Greater Manchester through education, outreach, and sustainable, community owned renewable energy solutions.","Manchester, United Kingdom",M22 1AH,53.376342,-2.267716
Cornwall Insight,https://www.cornwall-insight.com/,https://communityenergyengland.org/files/img_cache/2178/340_260_1675181387_Cornwallinsight.jpg?1675181794,"Cornwall Insight provides comprehensive energy market intelligence with analysis, consultancy & training, enabling you to succeed in the net zero transition",,NR3 1AB,52.632727,1.294224
CREW.,http://www.crewenergy.london/,https://communityenergyengland.org/files/img_cache/2180/340_260_1675181509_CREWLogo.png?1675181794,"Delivering low-carbon solutions, energy advice and community outreach to south-west London",,SW15 1SU,51.462116,-0.216232
Croydon Community Energy,https://www.croydoncommunityenergy.co.uk/,https://communityenergyengland.org/files/img_cache/2181/340_260_1675181634_CroydonCE.png?1675181794,"Our Vision: Develop renewable energy projects and deliver energy education to empower our community.

Our Purpose: We exist to ensure Croydon is contributing to the nation’s net zero goals to combat the climate emergency, whilst empowering people through energy advice, skills and education.",,CR2 6PB,51.362128,-0.09631
Dane Valley Community Energy - Congleton Park Ltd,https://www.congletonhydro.co.uk/about-dane-valley-community-energy-dvce-benefit-society/,https://communityenergyengland.org/files/img_cache/2451/340_260_1694510179_dvce-logo.png?1694510194,"Dane Valley Community Energy Ltd (DVCE) is a not for profit community benefit society formed and driven forward by a group of professional, knowledgeable and environmentally conscious volunteers.",,SK9 5AF,53.325524,-2.236049
Darley Community Energy,https://www.uk.coop/directory/darley-community-energy,https://communityenergyengland.org/files/img_cache/2578/340_260_1712563581_DarleyCElogo.jpg?1712583165,Community energy for Darley Dale,"37 Church Lane
Darley Abbey
Derby",DE22 1EX,52.945012,-1.47864
Deben Climate Centre,https://www.woodbridgeclimateactioncentre.org/,"https://static.wixstatic.com/media/828a7e_67bde90c88a644be9365dc3ee06d66f9~mv2.png/v1/fill/w_138,h_138,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/DCC%20LOGO.png","We are an expanding coalition of residents, academics, local community groups, charities and organisations putting collaboration and community building at the centre of a climate action plan. 

This is a Community Enterprise. Its for the community, by the community.  If you like what we're doing, get in touch!","1 Through Duncans, Woodbridge",IP12 4EA,52.088608,1.300245
Derbyshire Dales Community Energy,https://derbyshiredalesenergy.org.uk/,https://communityenergyengland.org/files/img_cache/2183/340_260_1675181764_derbyshiredales.png?1675181794,"Derbyshire Dales Community Energy, more informally known as DDCE, was founded by a group of passionate individuals. These founding people were driven by a desire to take action against climate change through developing community energy. We now support community energy projects across Derbyshire, all backed by our brilliant team. 

As a Community Benefit Society we welcome anyone to join us in reaching our aims and helping combat climate change. You can find out more about how to join on our membership page. ","18A Old Hackney Lane, Matlock, Derbyshire",DE4 2QL,53.147618,-1.565874
Devon Energy Collective CIC,https://www.devoncommunityenergy.org.uk/,https://communityenergyengland.org/files/img_cache/2192/340_260_1675429914_DevonEnergyCo.png?1675430277,"The Devon Community Energy Network brings together community organisations, local authorities, businesses and other to work towards a sustainable future for our community. 

Our network acts collectively to support each other and our goals across Devon. Importantly, we work together to secure resources and deliver projects that cannot be achieved by community energy organisations acting alone. 

We work together to influence new energy development, to reduce energy consumption, to fight fuel poverty and to deploy new renewable energy projects for a sustainable future.","Bradninch Court C/O Regen, Castle Street, Exeter",EX4 3PL,50.725772,-3.52906
Dorset Community Energy,https://www.dorsetcommunityenergy.org.uk/,https://communityenergyengland.org/files/img_cache/2464/340_260_1696517300_DorsetCommunityEnergyLogo.jpg?1696569246,"Dorset Community Energy (DCE) is a not-for-profit Community Benefit Society, registered with the Financial Conduct Authority, which facilitates community ownership of renewable energy production. The Society was established in 2013 with support from the BIG Lottery-funded 'Communities Living Sustainably in Dorset' project. It has 152 members and is managed by a board of Non-Executive Directors.",,DT1 1JU,50.715215,-2.432607
