Organisation Name,Type,Website URL,Logo URL,Short Description,Address,Postcode,Latitude,Longitude
The Wee G & T Company,community-energy-group,Not Found,Not Found,Likely a small-scale business or community enterprise focused on gin and tonic related products.,Not Found,Not Provided,Not Provided,Not Provided
The Wheatley Foundation,community-energy-member,https://www.wheatley-group.com/better-lives/wheatley-foundation,https://www.wheatley-foundation.com/wp-content/uploads/2019/04/Wheatley-Foundation-Logo.png,"The charitable arm of Wheatley Group, working to improve lives in the communities where Wheatley builds and manages homes.","Wheatley House, 25 Cochrane Street, Glasgow",G1 1HL,55.86,-4.25
The Woodside Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in the Woodside area (likely Glasgow or Aberdeen).,Not Found,G3 7QD,55.87,-4.26
Thornliebank Community Centre,community-energy-member,Not Found,Not Found,A local community centre providing facilities and activities for the Thornliebank area.,"Main Street, Thornliebank, Glasgow",G46 7RU,55.8,-4.31
Thurso Church of Scotland,community-energy-member,https://www.stpetersthurso.uk/,Not Found on Website,A parish church of the Church of Scotland serving the community of Thurso.,Not Found,KW14 7AH,58.59,-3.52
Tillydrone Community Development Trust,community-energy-group,https://www.facebook.com/TillydroneCommunityDevelopmentTrust/?locale=en_GB,https://scontent.flba1-1.fna.fbcdn.net/v/t39.30808-6/417452549_799566298967076_7805632690532837656_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=WTPUvl7Vb_gQ7kNvwGticF0&_nc_oc=Adl96qvA2w8Qe5iNq9ihxDD_Luf0v-PwrctTYx7jmC1ULbDf8bbpLDwu7xRG65kBL3zeYRyK3VucF76VyomQJbZi&_nc_zt=23&_nc_ht=scontent.flba1-1.fna&_nc_gid=17xEKdkksJA5C8T2Lk7GVg&oh=00_AfNOBWm7rerzMHLp5KlC9GCtOeDBEXXtMvm3-sQMXm328g&oe=68647558,"Works to enhance the social, economic, and environmental well-being of Tillydrone, Aberdeen.",Not Found,AB24 2QS,57.17,-2.11
Tipi - A Community Interest Company,community-energy-member,Not Found,Not Found,"A community interest company, likely focused on creative, social, or environmental projects.",Not Found,Not Provided,Not Provided,Not Provided
Tong Development Trust,community-energy-group,Not Found,Not Found,"A community development trust working to enhance the social, economic, and environmental well-being of the Tong area on the Isle of Lewis.",Not Found,HS2 0HP,58.23,-6.32
Torry Community Council,community-energy-related,Not Found,Not Found on Website,"The official community council for Torry, Aberdeen, representing local interests and addressing community issues.",Not Found,AB11 8QQ,57.14,-2.08
Transition Black Isle,community-energy-group,https://www.transitionblackisle.org/,https://www.transitionblackisle.org/wp-content/uploads/2019/04/Transition-Black-Isle-Logo.png,"A community initiative promoting sustainable living, local food, and reduced carbon footprints on the Black Isle.",Not Found,IV6 7UT,57.56,-4.48
Transition Bro Gwaun,community-energy-group,https://www.transitionbrogwaun.org.uk/,https://www.transitionbrogwaun.org.uk/wp-content/uploads/2019/04/Transition-Bro-Gwaun-Logo.png,"A community-led initiative working to build a more sustainable and resilient community in the Bro Gwaun area of Pembrokeshire, Wales.",Not Found,SA65 9AD,51.99,-5.07
Transition Linlithgow,community-energy-group,https://transitionscotland.weebly.com/transition-linlithgow.html,Not Found,A community group promoting sustainable living and local resilience in Linlithgow.,Not Found,EH49 7AD,55.97,-3.6
Transition St Andrews,community-energy-group,https://www.transitionsta.org/,https://transitionsta.org/wp-content/uploads/2021/08/hi-res-full.png,A community initiative promoting sustainable living and reduced carbon footprints in St Andrews.,Not Found,KY16 9SD,56.34,-2.79
Transition Stirling,community-energy-group,https://www.transitionstirling.org.uk/,https://www.transitionstirling.org.uk/wp-content/uploads/2019/04/Transition-Stirling-Logo.png,A community-led initiative promoting sustainable living and climate action in Stirling.,Not Found,FK8 2QQ,56.12,-3.94
Tree of Knowledge,community-energy-member,https://treeof.com/,https://treeof.com/wp-content/uploads/2020/07/TOK_logo_full-white-80high.png,"A training and development company specializing in motivational and inspiring learning experiences. (Note: Primarily a commercial business, but included in list, so details provided as per request).",Not Found,ML1 1LP,55.79,-3.99
Trust Housing Association,community-energy-related,https://www.trustha.org.uk/,https://www.trustha.org.uk/images/logo.svg,Provides affordable housing and support services for older people and others with particular needs across Scotland.,"15 New Mart Road, Edinburgh",EH14 1RL,55.93,-3.22
Twynholm Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in Twynholm.,Not Found,DG6 4PX,54.88,-4.02
Udny Community Trust,community-energy-group,https://udnycommunitytrust.org.uk/,https://udnycommunitytrust.org.uk/wp-content/uploads/2021/04/logo-450.jpg,"A community trust working to enhance the social, economic, and environmental well-being of Udny.",Not Found,AB41 0QP,57.34,-2.17
Ullapool Community Trust,community-energy-group,https://www.ullapoolcommunity.org/,https://images.squarespace-cdn.com/content/v1/66045fa052d3d03cb002c818/72323f21-8edc-40ca-8255-912e5cd1dff4/LUCT-logo-removebg-preview.png?format=1500w,"Works for the social, economic, and environmental development of Ullapool.",Not Found,IV26 2XB,57.9,-5.2
University of Aberdeen,community-energy-related,https://www.abdn.ac.uk/,https://www.abdn.ac.uk/themes/custom/abdn/dist/images/abdn_logo.svg,"A public research university located in Aberdeen, Scotland.","King's College, Aberdeen",AB24 3FX,57.17,-2.09
University of Glasgow,community-energy-related,https://www.gla.ac.uk/,https://www.gla.ac.uk/media/Media_487595_smxx.png,"A public research university in Glasgow, Scotland, established in 1451.","University Avenue, Glasgow",G12 8QQ,55.87,-4.29
University of Stirling,community-energy-related,https://www.stir.ac.uk/,https://www.stir.ac.uk/media/stirling/brand/Stirling-Logo.png,"A public university located in Stirling, Scotland.","University of Stirling, Stirling",FK9 4LA,56.13,-3.94
Upper Donside Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in the Upper Donside area.,Not Found,AB36 8SP,57.2,-3
Urras Oighreachd Ghabhsainn,community-energy-group,https://www.galsontrust.com/,"https://static.wixstatic.com/media/682f71_42be20f2f69b4b3d9097dd65ed96771c~mv2.png/v1/fill/w_992,h_244,al_c,lg_1,q_85,enc_avif,quality_auto/682f71_42be20f2f69b4b3d9097dd65ed96771c~mv2.png","The Galson Estate Trust, a community land trust managing the Galson Estate in North Lewis for the benefit of local residents.",Not Found,HS2 0TF,58.46,-6.39
Urras nan Tursachan,community-energy-group,https://calanais.org/urras-nan-tursachan-the-callanish-trust/,https://calanais.org/wp-content/uploads/2021/11/calanais-logo.png,"The Callanish Trust, a community trust that manages the Callanish visitor centre and promotes the local area.",Not Found,HS2 9DY,58.19,-6.74
VisitScotland,community-energy-member,https://www.visitscotland.com/,https://www.visitscotland.com/static/assets/img/visitscotland-logo.svg,"Scotland's national tourism organisation, promoting Scotland as a world-class tourist destination.","Ocean Point 1, 94 Ocean Drive, Leith, Edinburgh",EH6 6JH,55.97,-3.18
Voluntary Action East Renfrewshire,community-energy-related,https://va-er.org.uk/,https://va-er.org.uk/wp-content/uploads/2021/10/VAER-logo-transparent-2-e1647274979186.webp,Supports and promotes volunteering and community action in East Renfrewshire.,Not Found,G78 1SN,55.78,-4.33
Voluntary Arts Scotland,community-energy-member,https://www.creative-lives.org/listing/category/creative-lives-in-glasgow,Not Found on Website,"Supports and promotes creative cultural activity for all, across Scotland. (Part of Voluntary Arts UK)",Not Found,EH1 3DA,55.95,-3.18
Walls Community Council,community-energy-related,Not Found,Not Found,"A community council representing the interests of residents in Walls, Shetland.",Not Found,ZE2 9PG,60.23,-1.6
WASPS Studios,community-energy-group,https://waspsstudios.org.uk/,https://waspsstudios.org.uk/wp-content/uploads/2019/04/WASPS-Studios-Logo.png,Provides affordable studios and creative spaces for artists and makers across Scotland.,"The Briggait, 141 Bridgegate, Glasgow",G1 5HZ,55.85,-4.25
Water of Leith Conservation Trust,community-energy-related,https://www.waterofleith.org.uk/,https://www.waterofleith.org.uk/wp-content/uploads/2021/07/WOL-Wheel-White-Stroke.png,A charity working to conserve and enhance the Water of Leith river and its surroundings in Edinburgh.,"Water of Leith Visitor Centre, 24 Lanark Road, Edinburgh",EH14 1TQ,55.92,-3.25
West Dunbartonshire Council,community-energy-related,https://www.west-dunbarton.gov.uk/,https://www.west-dunbarton.gov.uk/media/10891/WDC-Logo/jpeg/WDC_Logo.jpg,The local government authority for the West Dunbartonshire area of Scotland.,"Council Offices, Garshake Road, Dumbarton",G82 3PU,55.95,-4.56
West End Community Council (Edinburgh),community-energy-related,https://www.wecc.org.uk/,Not Found on Website,A community council representing the interests of residents in the West End of Edinburgh.,Not Found,EH3 7DF,55.95,-3.2
Westray Development Trust,community-energy-group,https://www.westraydevelopmenttrust.co.uk/,https://westraydevelopmenttrust.co.uk/wp-content/themes/westraydevelopmenttrust/images/Westray-development-trust-logo-177x89.png,A community development trust working to sustain and enhance the quality of life on the island of Westray.,Not Found,KW17 2DE,59.32,-2.98
Whalsay Community Council,community-energy-related,Not Found,Not Found,"A community council representing the interests of residents on the island of Whalsay, Shetland.",Not Found,ZE2 9AH,60.36,-1.03
Whalsay Development Trust,community-energy-member,https://www.shetlandcommunitydirectory.co.uk/listings/whalsay-sports-development-trust-pitch,Not Found on Website,,Not Found,ZE2 9AS,60.36,-1.03
Wheatley Group,community-energy-member,https://www.wheatley-group.com/,https://www.wheatley-group.com/wp-content/uploads/2019/04/Wheatley-Group-Logo.png,"Scotland's largest housing, care and property-management group, providing homes and services across the country.","Wheatley House, 25 Cochrane Street, Glasgow",G1 1HL,55.86,-4.25
White Horse Federation,community-energy-member,,,,"Plymouth Street, Swindon",SN1 2LP,51.56,-1.78
Wick Community Council,community-energy-related,Wick Community Council,Not Found on Website,"The official community council for Wick, representing local interests and addressing community issues.",Not Found,KW1 5LE,58.43,-3.09
Wi-fi for life,community-energy-member,Not Found,Not Found,Likely an initiative or project focused on providing free or affordable internet access for communities.,Not Found,Not Provided,Not Provided,Not Provided
Wildfowl & Wetlands Trust,community-energy-member,https://www.wwt.org.uk/,https://www.wwt.org.uk/wp-content/uploads/2019/04/WWT-Logo.png,"A conservation charity saving wetlands for wildlife and people, with centres across the UK.","Slimbridge, Gloucestershire",GL2 7BT,51.74,-2.38
Williamwood High School,community-energy-member,https://www.williamwood.e-renfrew.sch.uk/,https://www.williamwood.e-renfrew.sch.uk/themes/wwood/assets/img/logo.png,"A secondary school located in Clarkston, East Renfrewshire.","Eaglesham Rd, Clarkston, Glasgow",G76 8HF,55.78,-4.25
Workspace Services,community-energy-member,https://www.workplacescotland.co.uk/,https://www.workspaceservices.co.uk/wp-content/uploads/2019/04/Workspace-Services-Logo.png,"Workplace Scotland was founded to provide Clients with specialist independent workplace consultancy advice.

We ensure that our Clients interests are actively represented in project or programme activities, by a technically qualified and experienced team member, supporting your project sponsor and achieving your strategic objectives.

We pride ourselves in understanding our Clients vision, values and culture, improving your project delivery with the breadth of our experience and depth of our knowledge.

We are passionate change agents who inspire a sense of shared purpose within the wider project team.","Unit 1, 10-14 Greenhill Crescent, Edinburgh",EH10 4BN,55.93,-3.2
Xcite West Lothian Leisure,community-energy-member,https://www.westlothianleisure.com/,https://www.westlothianleisure.com/wp-content/uploads/2019/04/Xcite-West-Lothian-Leisure-Logo.png,"A charitable trust providing sports, leisure, and cultural facilities and services across West Lothian.",Not Found,EH54 6DB,55.9,-3.5
Young Enterprise Scotland,community-energy-member,https://www.yes.org.uk/,https://www.yes.org.uk/wp-content/uploads/2019/04/Young-Enterprise-Scotland-Logo.png,A charity inspiring and equipping young people to learn and succeed through enterprise.,Not Found,G51 1RW,55.85,-4.28
Youth Scotland,community-energy-member,https://www.youthscotland.org.uk/,https://www.youthscotland.org.uk/wp-content/uploads/2019/04/Youth-Scotland-Logo.png,"The national youth work agency for Scotland, supporting and representing community-based youth work.",Not Found,EH7 4AU,55.96,-3.18
Zephry Energy,community-energy-member,https://www.zephyrplc.com/,https://www.zephyrenergy.com/wp-content/uploads/2023/04/Zephyr-Energy-Logo.png,"An oil and gas company focused on developing assets in the Rocky Mountain region of the United States. (Note: Commercial business, primarily US-focused, but included in list, so details provided as requested).",Not Found,Not Provided,Not Provided,Not Provided
Zero Waste Scotland,community-energy-related,https://www.zerowastescotland.org.uk/,https://www.zerowastescotland.org.uk/themes/custom/zws/logo.svg,"Scotland's national organisation leading the charge to a circular economy, helping Scotland to reduce waste and use resources more efficiently.",Not Found,FK10 3GR,56.12,-3.94
